Citation	Study	Sample	Measure	Reliability	N	Estimate	Splithalf	Parts	Parts_provided	Delay	Aggregate	Aggregate_num	Estimate_notes	Estimate_searchable	Source
"De Houwer, J., & De Bruycker, E. (2007). The Implicit Association Test outperforms the Extrinsic Affective Simon Task as an implicit measure of inter-individual differences in attitudes. British Journal of Social Psychology, 46, 401–421."	1	1	IAT	IC	45	0.88		2						Yes	Search
"De Houwer, J., & De Bruycker, E. (2007). The Implicit Association Test outperforms the Extrinsic Affective Simon Task as an implicit measure of inter-individual differences in attitudes. British Journal of Social Psychology, 46, 401–421."	1	1	EAST	IC	47	-0.2		2					Relative D600 score	Yes	Search
"De Houwer, J., & De Bruycker, E. (2007). The Implicit Association Test outperforms the Extrinsic Affective Simon Task as an implicit measure of inter-individual differences in attitudes. British Journal of Social Psychology, 46, 401–421."	2	1	IAT	IC	46	0.95		2						Yes	Search
"De Houwer, J., & De Bruycker, E. (2007). The Implicit Association Test outperforms the Extrinsic Affective Simon Task as an implicit measure of inter-individual differences in attitudes. British Journal of Social Psychology, 46, 401–421."	2	2	EAST	IC	64	0.61		2					Relative D600 score	Yes	Search
"De Houwer, J., & De Bruycker, E. (2007). The Implicit Association Test outperforms the Extrinsic Affective Simon Task as an implicit measure of inter-individual differences in attitudes. British Journal of Social Psychology, 46, 401–421."	3	1	IAT	IC	77	0.83		2						Yes	Search
"De Houwer, J., & De Bruycker, E. (2007). The Implicit Association Test outperforms the Extrinsic Affective Simon Task as an implicit measure of inter-individual differences in attitudes. British Journal of Social Psychology, 46, 401–421."	3	1	EAST	IC	76	0.02		2					Relative D600 score	Yes	Search
"De Houwer, J. (2003). The Extrinsic Affective Simon Task. Experimental Psychology, 50, 77–85."	1	1	EAST	IC	51	0.47	0.31	2			Average of positive & negative words	2	Reaction time data	No	OrigPub
"De Houwer, J. (2003). The Extrinsic Affective Simon Task. Experimental Psychology, 50, 77–85."	2	1	EAST	IC	49	0.3	0.17	2			"Average of self, other, flower, and insect"	4	Reaction time data. Excluded XXXXX trials.	No	OrigPub
"Schmukle, S. C., & Egloff, B. (2006). Assessing anxiety with extrinsic simon tasks. Experimental Psychology, 53, 149–160."	1	1	IAT	IC	106	0.77		2					D score	Yes	Search
"Schmukle, S. C., & Egloff, B. (2006). Assessing anxiety with extrinsic simon tasks. Experimental Psychology, 53, 149–160."	1	1	EAST	IC	106	0.55		2					"EST-A, all critical trials, odd-even, D score"	Yes	Search
"Schmukle, S. C., & Egloff, B. (2006). Assessing anxiety with extrinsic simon tasks. Experimental Psychology, 53, 149–160."	1	1	EAST	IC	106	0.45		2					"EST-B, all critical trials, odd-even, D score"	Yes	Search
"Schmukle, S. C., & Egloff, B. (2006). Assessing anxiety with extrinsic simon tasks. Experimental Psychology, 53, 149–160."	2	1	IAT	IC	81	0.85		2					D score	Yes	Search
"Schmukle, S. C., & Egloff, B. (2006). Assessing anxiety with extrinsic simon tasks. Experimental Psychology, 53, 149–160."	2	1	EAST	IC	81	0.59		2					"EST-A, all critical trials, odd-even, D score"	Yes	Search
"Schmukle, S. C., & Egloff, B. (2006). Assessing anxiety with extrinsic simon tasks. Experimental Psychology, 53, 149–160."	2	1	EAST	IC	81	0.55		2					"EST-B, all critical trials, odd-even, D score"	Yes	Search
"Zenko, Z., & Ekkekakis, P. (2019). Internal consistency and validity of measures of automatic exercise associations. Psychology of Sport and Exercise, 43, 4–15."	1	1	AMP	IC	93	0.85		2						Yes	Search
"Zenko, Z., & Ekkekakis, P. (2019). Internal consistency and validity of measures of automatic exercise associations. Psychology of Sport and Exercise, 43, 4–15."	1	1	AAT	IC	95	0.56		2						Yes	Search
"Zenko, Z., & Ekkekakis, P. (2019). Internal consistency and validity of measures of automatic exercise associations. Psychology of Sport and Exercise, 43, 4–15."	1	1	Evaluative Priming	IC	86	0.25		2						Yes	Search
"Zenko, Z., & Ekkekakis, P. (2019). Internal consistency and validity of measures of automatic exercise associations. Psychology of Sport and Exercise, 43, 4–15."	1	1	EAST	IC	90	-0.13		2						Yes	Search
"Zenko, Z., & Ekkekakis, P. (2019). Internal consistency and validity of measures of automatic exercise associations. Psychology of Sport and Exercise, 43, 4–15."	1	1	GNAT	IC	95	0.12		2						Yes	Search
"Zenko, Z., & Ekkekakis, P. (2019). Internal consistency and validity of measures of automatic exercise associations. Psychology of Sport and Exercise, 43, 4–15."	1	1	SC-IAT	IC	95	0.85		2					Personalized	Yes	Search
"Zenko, Z., & Ekkekakis, P. (2019). Internal consistency and validity of measures of automatic exercise associations. Psychology of Sport and Exercise, 43, 4–15."	1	1	SC-IAT	IC	95	0.18		2					Regular	Yes	Search
"Rinck, M., & Becker, E. S. (2007). Approach and avoidance in fear of spiders. Journal of Behavior Therapy and Experimental Psychiatry, 38, 105–120."	1	1	AAT	IC	47	0.8		2						Yes	OrigPub
"Rinck, M., & Becker, E. S. (2007). Approach and avoidance in fear of spiders. Journal of Behavior Therapy and Experimental Psychiatry, 38, 105–120."	2	1	AAT	IC	47	0.76		2						Yes	OrigPub
"Rinck, M., & Becker, E. S. (2007). Approach and avoidance in fear of spiders. Journal of Behavior Therapy and Experimental Psychiatry, 38, 105–120."	3	1	AAT	IC	45	0.71		2						Yes	OrigPub
"Cludius, B., Külz, A. K., Landmann, S., Moritz, S., & Wittekind, C. E. (2017). Implicit approach and avoidance in patients with obsessive-compulsive disorder. Journal of Abnormal Psychology, 126, 761–773."	1	1	AAT	IC	93	0.6		6			Average of 3 trial types	3	Used difference scores	No	Search
"Effting, M., Salemink, E., Verschuere, B., & Beckers, T. (2016). Implicit and explicit measures of spider fear and avoidance behavior: Examination of the moderating role of working memory capacity. Journal of Behavior Therapy and Experimental Psychiatry, 50, 269–276."	1	1	IAT	IC	62	0.83		2	No					Yes	Search
"Effting, M., Salemink, E., Verschuere, B., & Beckers, T. (2016). Implicit and explicit measures of spider fear and avoidance behavior: Examination of the moderating role of working memory capacity. Journal of Behavior Therapy and Experimental Psychiatry, 50, 269–276."	1	1	AAT	IC	62	0.24		2	No					Yes	Search
"Van Duijvenbode, N., Didden, R., Korzilius, H. P. L. M., & Engels, R. C. M. E. (2016). The addicted brain: Cognitive biases in problematic drinkers with mild to borderline intellectual disability. Journal of Intellectual Disability Research, 60, 242–253."	1	1	AAT	IC	130	0.58		2					yellow/blue frame AAT	Yes	Search
"Yang, J., Shi, Y., Luo, Y. L. L., Shi, J., & Cai, H. (2014). The brief implicit association test is valid: Experimental evidence. Social Cognition, 32, 449–465."	1	1	BIAT	IC	147	0.88	0.78	2					attitude	Yes	Search
"Yang, J., Shi, Y., Luo, Y. L. L., Shi, J., & Cai, H. (2014). The brief implicit association test is valid: Experimental evidence. Social Cognition, 32, 449–465."	1	1	BIAT	IC	147	0.8	0.66	2					identification	Yes	Search
"Kämpfe, N., Penzhorn, J., Schikora, J., Dünzl, J., & Schneidenbach, J. (2009). Empathy and social desirability: A comparison of delinquent and non-delinquent participants using direct and indirect measures. Psychology, Crime and Law, 15, 1–17."	1	1	ST-IAT	IC	18	0.92	0.85	2					control group	Yes	Search
"Kämpfe, N., Penzhorn, J., Schikora, J., Dünzl, J., & Schneidenbach, J. (2009). Empathy and social desirability: A comparison of delinquent and non-delinquent participants using direct and indirect measures. Psychology, Crime and Law, 15, 1–17."	1	2	ST-IAT	IC	70	0.95	0.91	2					deliquent sample	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	IAT	IC	93	0.88		2	No				"Regular IAT, IAT1"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	IAT	IC	93	0.78		2	No				"Regular IAT, IAT2"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	IAT	IC	93	0.75		2	No				"Regular IAT, IAT3"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	IAT	IC	93	0.68		2	No				"Regular IAT, IAT4"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	Evaluative Priming	IC	93	0.52		2	No				RW-P1	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	Evaluative Priming	IC	93	0.66		2	No				RW-P2	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	Evaluative Priming	IC	93	0.6		2	No				RW-P3	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	Evaluative Priming	IC	93	0.74		2	No				RW-P4	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	IAT	TRR	93	0.31				2 weeks			"IAT1-IAT2, Regular IAT"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	IAT	TRR	93	0.42				4 weeks			"IAT1-IAT3, Regular IAT"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	IAT	TRR	93	0.16				6 weeks			"IAT1-IAT4, Regular IAT"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	IAT	TRR	93	0.5				2 weeks			"IAT2-IAT3, Regular IAT"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	IAT	TRR	93	0.33				4 weeks			"IAT2-IAT4, Regular IAT"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	IAT	TRR	93	0.17				2 weeks			"IAT3-IAT4, Regular IAT"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	Evaluative Priming	TRR	93	0.13				2 weeks			"RW-P1-RW-P2, Response-window evaluative priming"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	Evaluative Priming	TRR	93	0.17				4 weeks			"RW-P1-RW-P3, Response-window evaluative priming"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	Evaluative Priming	TRR	93	0.01				6 weeks			"RW-P1-RW-P4, Response-window evaluative priming"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	Evaluative Priming	TRR	93	0.3				2 weeks			"RW-P2-RW-P3, Response-window evaluative priming"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	Evaluative Priming	TRR	93	0.48				4 weeks			"RW-P2-RW-P4, Response-window evaluative priming"	Yes	Search
"Cunningham, W. A., Preacher, K. J., & Banaji, M. R. (2001). Implicit Attitude Measures: Consistency, Stability, and Convergent Validity. Psychological Science, 12, 163–170."	1	1	Evaluative Priming	TRR	93	0.42				2 weeks			"RW-P3-RW-P4, Response-window evaluative priming"	Yes	Search
"Janssen, T., Larsen, H., Vollebergh, W. A. M., & Wiers, R. W. (2015). Longitudinal relations between cognitive bias and adolescent alcohol use. Addictive Behaviors, 44, 51–57."	1	1	SRCT	IC	378	0.58		2					T1	Yes	Search
"Janssen, T., Larsen, H., Vollebergh, W. A. M., & Wiers, R. W. (2015). Longitudinal relations between cognitive bias and adolescent alcohol use. Addictive Behaviors, 44, 51–57."	1	1	SRCT	IC	210	0.64		2					T2	Yes	Search
"Janssen, T., Larsen, H., Vollebergh, W. A. M., & Wiers, R. W. (2015). Longitudinal relations between cognitive bias and adolescent alcohol use. Addictive Behaviors, 44, 51–57."	1	1	SRCT	IC	182	0.59		2					T3	Yes	Search
"Janssen, T., Larsen, H., Vollebergh, W. A. M., & Wiers, R. W. (2015). Longitudinal relations between cognitive bias and adolescent alcohol use. Addictive Behaviors, 44, 51–57."	1	1	SRCT	IC	195	0.73		2					T4	Yes	Search
"Janssen, T., Larsen, H., Vollebergh, W. A. M., & Wiers, R. W. (2015). Longitudinal relations between cognitive bias and adolescent alcohol use. Addictive Behaviors, 44, 51–57."	1	1	AAT	IC	378	0.23		2					T1	Yes	Search
"Janssen, T., Larsen, H., Vollebergh, W. A. M., & Wiers, R. W. (2015). Longitudinal relations between cognitive bias and adolescent alcohol use. Addictive Behaviors, 44, 51–57."	1	1	AAT	IC	210	0.34		2					T2	Yes	Search
"Janssen, T., Larsen, H., Vollebergh, W. A. M., & Wiers, R. W. (2015). Longitudinal relations between cognitive bias and adolescent alcohol use. Addictive Behaviors, 44, 51–57."	1	1	AAT	IC	182	0.39		2					T3	Yes	Search
"Janssen, T., Larsen, H., Vollebergh, W. A. M., & Wiers, R. W. (2015). Longitudinal relations between cognitive bias and adolescent alcohol use. Addictive Behaviors, 44, 51–57."	1	1	AAT	IC	195	0.48		2					T4	Yes	Search
"van der Kaap-Deeder, J., De Houwer, J., Hughes, S., Spruyt, A., & Vansteenkiste, M. (2018). The development and validation of an implicit measure of competence need satisfaction. Motivation and Emotion, 42, 615–637."	1	1	IAT	IC	379	0.73		2						Yes	Search
"van der Kaap-Deeder, J., De Houwer, J., Hughes, S., Spruyt, A., & Vansteenkiste, M. (2018). The development and validation of an implicit measure of competence need satisfaction. Motivation and Emotion, 42, 615–637."	1	1	IAT	IC	379	0.69		2						Yes	Search
"van der Kaap-Deeder, J., De Houwer, J., Hughes, S., Spruyt, A., & Vansteenkiste, M. (2018). The development and validation of an implicit measure of competence need satisfaction. Motivation and Emotion, 42, 615–637."	2	1	IRAP	IC	67	0.08		2						Yes	Search
"van der Kaap-Deeder, J., De Houwer, J., Hughes, S., Spruyt, A., & Vansteenkiste, M. (2018). The development and validation of an implicit measure of competence need satisfaction. Motivation and Emotion, 42, 615–637."	2	1	IRAP	IC	67	0.08		2						Yes	Search
"Heider, N., Spruyt, A., & De Houwer, J. (2015). Implicit beliefs about ideal body image predict body image dissatisfaction. Frontiers in Psychology, 6. doi:10.3389/fpsyg.2015.01402"	1	1	IRAP	IC	48	0.32		2					actual body image	Yes	Search
"Heider, N., Spruyt, A., & De Houwer, J. (2015). Implicit beliefs about ideal body image predict body image dissatisfaction. Frontiers in Psychology, 6. doi:10.3389/fpsyg.2015.01402"	1	1	IRAP	IC	48	0.42		2					ideal body image	Yes	Search
"Bluemke, M., & Zumbach, J. (2018). Enter the matrix: Does self-activation really matter for aggressiveness after violence exposure? Psychology of Popular Media Culture, No Pagination Specified-No Pagination Specified."	1	1	IAT	IC	90	0.73		2					T1	Yes	Search
"Bluemke, M., & Zumbach, J. (2018). Enter the matrix: Does self-activation really matter for aggressiveness after violence exposure? Psychology of Popular Media Culture, No Pagination Specified-No Pagination Specified."	1	1	IAT	IC	90	0.71		2					T2	Yes	Search
"Bluemke, M., & Zumbach, J. (2018). Enter the matrix: Does self-activation really matter for aggressiveness after violence exposure? Psychology of Popular Media Culture, No Pagination Specified-No Pagination Specified."	1	1	IAT	TRR	90	0.54				same session				Yes	Author
"Bluemke, M., Crombach, A., Hecker, T., Schalinski, I., Elbert, T., & Weierstall, R. (2017). Is the implicit association test for aggressive attitudes a measure for attraction to violence or traumatization? Zeitschrift Für Psychologie, 225, 54–63."	1	1	IAT	IC	64	0.95	0.91	2			Aggregate of 3 administrations	3	Took midpoint in range given (.88-.93)	No	Author
"Zumbach, J., Seitz, C., & Bluemke, M. (2015). Impact of violent video game realism on the self-concept of aggressiveness assessed with explicit and implicit measures. Computers in Human Behavior, 53, 278–288."	1	1	IAT	IC	69	0.75		2					T1	Yes	Author
"Zumbach, J., Seitz, C., & Bluemke, M. (2015). Impact of violent video game realism on the self-concept of aggressiveness assessed with explicit and implicit measures. Computers in Human Behavior, 53, 278–288."	1	1	IAT	IC	69	0.75		2					T2	Yes	Author
"Bluemke, M., & Friese, M. (2012). On the validity of idiographic and generic self-concept implicit association tests: a core-concept model. European Journal of Personality, 26, 515–528."	1	1	IAT	IC	144	0.87		2	No				gen-IAT	Yes	Author
"Bluemke, M., & Friese, M. (2012). On the validity of idiographic and generic self-concept implicit association tests: a core-concept model. European Journal of Personality, 26, 515–528."	1	1	IAT	IC	144	0.89		2	No				idio-IAT	Yes	Author
"Bluemke, M., & Friese, M. (2012). On the validity of idiographic and generic self-concept implicit association tests: a core-concept model. European Journal of Personality, 26, 515–528."	2	1	IAT	IC	123	0.87		2	No				gen-IAT	Yes	Author
"Bluemke, M., & Friese, M. (2012). On the validity of idiographic and generic self-concept implicit association tests: a core-concept model. European Journal of Personality, 26, 515–528."	2	1	IAT	IC	123	0.87		2	No				idio-IAT	Yes	Author
"Bluemke, M., & Friese, M. (2012). On the validity of idiographic and generic self-concept implicit association tests: a core-concept model. European Journal of Personality, 26, 515–528."	3	1	IAT	IC	125	0.82		2	No				gen-IAT	Yes	Author
"Bluemke, M., & Friese, M. (2012). On the validity of idiographic and generic self-concept implicit association tests: a core-concept model. European Journal of Personality, 26, 515–528."	3	1	IAT	IC	125	0.85		2	No				idio-IAT	Yes	Author
"Friese, M., Smith, C. T., Plischke, T., Bluemke, M., & Nosek, B. A. (2012). Do implicit attitudes predict actual voting behavior particularly for undecided voters? PLOS ONE, 7, e44130."	1	1	IAT	IC	3594	0.79		2	No					Yes	Author
"Friese, M., Smith, C. T., Plischke, T., Bluemke, M., & Nosek, B. A. (2012). Do implicit attitudes predict actual voting behavior particularly for undecided voters? PLOS ONE, 7, e44130."	2	1	IAT	IC	913	0.89		2	No				camp.t1	Yes	Author
"Friese, M., Smith, C. T., Plischke, T., Bluemke, M., & Nosek, B. A. (2012). Do implicit attitudes predict actual voting behavior particularly for undecided voters? PLOS ONE, 7, e44130."	2	1	IAT	IC	913	0.72		2	No				candidate.t1	Yes	Author
"Friese, M., Smith, C. T., Plischke, T., Bluemke, M., & Nosek, B. A. (2012). Do implicit attitudes predict actual voting behavior particularly for undecided voters? PLOS ONE, 7, e44130."	2	1	IAT	IC	913	0.92		2	No				camp.t2	Yes	Author
"Friese, M., Smith, C. T., Plischke, T., Bluemke, M., & Nosek, B. A. (2012). Do implicit attitudes predict actual voting behavior particularly for undecided voters? PLOS ONE, 7, e44130."	2	1	IAT	TRR	913	0.79				About 54.22 days			"Delay estimated from ""On average, participants took part in the first part of the study 51.74 days (SD?=?44.94) before, and in the second part 2.48 days (SD?=?1.85) after the election."""	Yes	Author
"Friese, M., & Hofmann, W. (2012). Just a little bit longer: viewing time of erotic material from a self-control perspective. Applied Cognitive Psychology, 26, 489–496."	1	1	SC-IAT	IC	93	0.87		4						Yes	Author
"Galdi, S., Gawronski, B., Arcuri, L., & Friese, M. (2012). Selective exposure in decided and undecided individuals: differential relations to automatic associations and conscious beliefs. Personality and Social Psychology Bulletin, 38, 559–569."	1	1	SC-IAT	IC	113	0.76		2					T1	Yes	Author
"Galdi, S., Gawronski, B., Arcuri, L., & Friese, M. (2012). Selective exposure in decided and undecided individuals: differential relations to automatic associations and conscious beliefs. Personality and Social Psychology Bulletin, 38, 559–569."	1	1	SC-IAT	IC	113	0.81		2					T2	Yes	Author
"Galdi, S., Gawronski, B., Arcuri, L., & Friese, M. (2012). Selective exposure in decided and undecided individuals: differential relations to automatic associations and conscious beliefs. Personality and Social Psychology Bulletin, 38, 559–569."	1	1	SC-IAT	TRR	113	0.3					Weighted average of 3 subgroups	3	From Table 2	No	Author
"Florack, A., Friese, M., & Scarabis, M. (2010). Regulatory focus and reliance on implicit preferences in consumption contexts. Journal of Consumer Psychology, 20, 193–204."	1	1	IAT	IC	40	0.85		4						Yes	Author
"Florack, A., Friese, M., & Scarabis, M. (2010). Regulatory focus and reliance on implicit preferences in consumption contexts. Journal of Consumer Psychology, 20, 193–204."	2	1	SC-IAT	IC	44	0.66		4						Yes	Author
"Florack, A., Friese, M., & Scarabis, M. (2010). Regulatory focus and reliance on implicit preferences in consumption contexts. Journal of Consumer Psychology, 20, 193–204."	3	1	IAT	IC	94	0.78		4						Yes	Author
"Friese, M., Bargas-Avila, J., Hofmann, W., & Wiers, R. W. (2010). Here’s looking at you, bud: alcohol-related memory structures predict eye movements for social drinkers with low executive control. Social Psychological and Personality Science, 1, 143–151."	1	1	SC-IAT	IC	49	0.73		4						Yes	Author
"Friese, M., & Hofmann, W. (2009). Control me or I will control you: Impulses, trait self-control, and the guidance of behavior. Journal of Research in Personality, 43, 795–805."	1	1	SC-IAT	IC	38	0.85		4						Yes	Author
"Friese, M., & Hofmann, W. (2009). Control me or I will control you: Impulses, trait self-control, and the guidance of behavior. Journal of Research in Personality, 43, 795–805."	2a	1	SC-IAT	IC	156	0.79		4						Yes	Author
"Friese, M., & Hofmann, W. (2009). Control me or I will control you: Impulses, trait self-control, and the guidance of behavior. Journal of Research in Personality, 43, 795–805."	2b	1	AMP	IC	129	0.84		4						Yes	Author
"Friese, M., Hofmann, W., & Wänke, M. (2008). When impulses take over: Moderated predictive validity of explicit and implicit attitude measures in predicting food choice and consumption behaviour. British Journal of Social Psychology, 47, 397–419."	1	1	IAT	IC	85	0.93		3						Yes	Author
"Friese, M., Hofmann, W., & Wänke, M. (2008). When impulses take over: Moderated predictive validity of explicit and implicit attitude measures in predicting food choice and consumption behaviour. British Journal of Social Psychology, 47, 397–419."	2	1	SC-IAT	IC	66	0.73		3						Yes	Author
"Friese, M., Hofmann, W., & Wänke, M. (2008). When impulses take over: Moderated predictive validity of explicit and implicit attitude measures in predicting food choice and consumption behaviour. British Journal of Social Psychology, 47, 397–419."	3	1	SC-IAT	IC	46	0.82		3						Yes	Author
"Hofmann, W., & Friese, M. (2008). Impulses got the better of me: Alcohol moderates the influence of implicit attitudes toward food cues on eating behavior. Journal of Abnormal Psychology, 117, 420–427."	1	1	IAT	IC	63	0.83		4						Yes	Author
"Moffitt, R. L., Kemps, E., Hannan, T. E., Neumann, D. L., Stopar, S. P., & Anderson, C. J. (2019). Implicit approach biases for physically active lifestyle cues. International Journal of Sport and Exercise Psychology."	1	1	IAT	IC	136	0.77		2						Yes	Search
"Moffitt, R. L., Kemps, E., Hannan, T. E., Neumann, D. L., Stopar, S. P., & Anderson, C. J. (2019). Implicit approach biases for physically active lifestyle cues. International Journal of Sport and Exercise Psychology."	2	1	IAT-RF	IC	73	0.62		2						Yes	Search
"Chen, J., Zheng, K., Xia, W., Wang, Q., Liao, Z., & Zheng, Y. (2018). Does inside equal outside? Relations between older adults’ implicit and explicit aging attitudes and self-esteem. Frontiers in Psychology, 9. "	1	1	IAT	IC	70	0.85		2	No				Word IAT	Yes	Search
"Chen, J., Zheng, K., Xia, W., Wang, Q., Liao, Z., & Zheng, Y. (2018). Does inside equal outside? Relations between older adults’ implicit and explicit aging attitudes and self-esteem. Frontiers in Psychology, 9. "	1	1	IAT	IC	70	0.91		2	No				Picture IAT	Yes	Search
"Chen, J., Zheng, K., Xia, W., Wang, Q., Liao, Z., & Zheng, Y. (2018). Does inside equal outside? Relations between older adults’ implicit and explicit aging attitudes and self-esteem. Frontiers in Psychology, 9. "	1	1	IAT	IC	70	0.85		2	No				"Labeled as ""Study 2"" in paper but was on the same sample"	Yes	Search
"Moser, S., & Zumbach, J. (2018). Exploring the development and impact of learning styles: An empirical investigation based on explicit and implicit measures. Computers and Education, 125, 146–157."	1	1	IAT	IC	126	0.74		2	No					Yes	Search
"Dormal, V., Maurage, P., Lannoy, S., & D’Hondt, F. (2018). Positive attitude toward alcohol predicts actual consumption in young adults: an ecological implicit association test. Journal of Studies on Alcohol and Drugs, 79, 733–740."	1	1	IAT	IC	65	0.62	0.45	2						Yes	Search
"McCartan, R., Elliott, M. A., Pagani, S., Finnegan, E., & Kelly, S. W. (2018). Testing the effects of explicit and implicit bidimensional attitudes on objectively measured speeding behaviour. British Journal of Social Psychology, 57, 630–651."	1	1	ST-IAT	IC	131	0.69		2					positive dimension	Yes	Search
"McCartan, R., Elliott, M. A., Pagani, S., Finnegan, E., & Kelly, S. W. (2018). Testing the effects of explicit and implicit bidimensional attitudes on objectively measured speeding behaviour. British Journal of Social Psychology, 57, 630–651."	1	1	ST-IAT	IC	131	0.64		2					negative dimension	Yes	Search
"Roessel, J., Schoel, C., & Stahlberg, D. (2018). What’s in an accent? General spontaneous biases against nonnative accents: An investigation with conceptual and auditory IATs. European Journal of Social Psychology, 48, 535–550."	1	1	IAT	IC	129	0.71		2					affect	Yes	Search
"Roessel, J., Schoel, C., & Stahlberg, D. (2018). What’s in an accent? General spontaneous biases against nonnative accents: An investigation with conceptual and auditory IATs. European Journal of Social Psychology, 48, 535–550."	1	1	IAT	IC	129	0.76		2					trust	Yes	Search
"Roessel, J., Schoel, C., & Stahlberg, D. (2018). What’s in an accent? General spontaneous biases against nonnative accents: An investigation with conceptual and auditory IATs. European Journal of Social Psychology, 48, 535–550."	1	1	IAT	IC	129	0.73		2					competence	Yes	Search
"Roessel, J., Schoel, C., & Stahlberg, D. (2018). What’s in an accent? General spontaneous biases against nonnative accents: An investigation with conceptual and auditory IATs. European Journal of Social Psychology, 48, 535–550."	1	1	IAT	IC	129	0.81		2					sociability	Yes	Search
"Roessel, J., Schoel, C., & Stahlberg, D. (2018). What’s in an accent? General spontaneous biases against nonnative accents: An investigation with conceptual and auditory IATs. European Journal of Social Psychology, 48, 535–550."	3a	1	IAT	IC	46	0.52		2					affect	Yes	Search
"Roessel, J., Schoel, C., & Stahlberg, D. (2018). What’s in an accent? General spontaneous biases against nonnative accents: An investigation with conceptual and auditory IATs. European Journal of Social Psychology, 48, 535–550."	3a	1	IAT	IC	46	0.63		2					evaluative	Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	1	1	IAT	IC	101	0.59		2					T1. Sample size from # of participants who contributed data to TRR	Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	1	1	IAT	IC	101	0.64		2					T2. Sample size from # of participants who contributed data to TRR	Yes	Search
"Rae, J. R., & Olson, K. R. (2018). Test-retest reliability and predictive validity of the implicit association test in children. Developmental Psychology, 54, 308–330."	1	1	IAT	TRR	101	0.34				same session (10 minutes)			Sample size from # of participants who contributed data to TRR	Yes	Search
